Name,Definition,Synonym,Output
basophilic adenocarcinoma,An esophageal carcinoma that derives_from epithelial cells of glandular origin.,basophilic carcinoma,pituitary carcinoma
prolactin producing pituitary tumor,A pituitary carcinoma that is located_in the anterior lobe of the pituitary gland that produces prolactin.,Prolactin-Producing Pituitary Gland Carcinoma,pituitary carcinoma
obsolete ductal adenoma,A pituitary carcinoma that is located_in the anterior lobe of the pituitary gland that produces prolactin.,Prolactin-Producing Pituitary Gland Carcinoma,pituitary carcinoma
