Name,Definition,Synonym,Output
paraphilia disorder,A sexual disorder that is characterized recurrent,PDD,sexual disorder
psychosexual disorder,A vein disease that is characterized by impaired flow of blood through the veins.,Psychogenic Vaginismus,sexual disorder
sexual sadism,A duodenum cancer that derives_from epithelial cells of glandular origin.,Duodenal adenocarcinoma,sexual disorder
obsolete leptospiral meningitis,A duodenum cancer that derives_from epithelial cells of glandular origin.,Leptospiral meningitis (disorder),sexual disorder
sexual masochism,A viral infectious disease that results_in inflammation located_in brain,Neuroinvasive St. Louis encephalitis virus infection,sexual disorder
sexual dysfunction,A bone cancer and jaw disease that is located in the jaw and results in a swollen jaw,Sexual impotence,sexual disorder
