Name,Definition,Synonym,Output
tibial adamantinoma,An adamantinoma of long bone that is located_in the tibia.,Tibial adamantinoma morphology,long bone adamantinoma
obsolete ovarian dermoid cyst with adenocarcinoma,An adamantinoma of long bone that is located_in the tibia.,Tibial adamantinoma morphology,long bone adamantinoma
obsolete ovarian dermoid cyst with secondary carcinoma,An adamantinoma of long bone that is located_in the tibia.,Tibial adamantinoma morphology,long bone adamantinoma
obsolete ovarian dermoid cyst with secondary tumor,An adamantinoma of long bone that is located_in the tibia.,Tibial adamantinoma morphology,long bone adamantinoma
