Name,Definition,Synonym,Output
Epstein-Barr virus hepatitis,A viral hepatitis that results_in inflammation,postmeasles encephalitis,viral hepatitis
obsolete Herpes simplex virus hepatitis,A Simplexvirus infectious disease that results_in inflammation located_in liver,postmeasles encephalitis,viral hepatitis
obsolete adenovirus hepatitis,An adenovirus infectious disease that involves inflammation of the liver caused by Human adenovirus 1,postmeasles encephalitis,viral hepatitis
obsolete Rubella virus hepatitis,A Rubella virus infectious disease that results_in inflammation located_in liver,postmeasles encephalitis,viral hepatitis
obsolete yellow fever hepatitis,A Yellow fever virus infectious disease that results_in inflammation located_in liver,postmeasles encephalitis,viral hepatitis
obsolete Measles virus hepatitis,A Measles virus infectious disease that results_in inflammation located_in liver,postmeasles encephalitis,viral hepatitis
obsolete Varicella-zoster virus hepatitis,A Varicellovirus infectious disease that results_in inflammation located_in liver,postmeasles encephalitis,viral hepatitis
