Name,Definition,Synonym,Output
transient hypogammaglobulinemia of infancy,An ovarian germ cell teratoma that is composed of tissues that originate from two or three of the following germ layers,Transient hypogammaglobulinemia of infancy,transient hypogammaglobulinemia
obsolete transitional cell intraepithelial neoplasm,An ovarian germ cell teratoma that is composed of tissues that originate from two or three of the following germ layers,Transient hypogammaglobulinemia of infancy,transient hypogammaglobulinemia
