Name,Definition,Synonym,Output
hypodermyiasis,A myiasis that involves parasitic infestation of warble flies of the genus Hypoderma,Unspecified schizophrenia,myiasis
screw worm infectious disease,A myiasis that involves parasitic infestation of Cochliomyia hominivorax or Chrysomya bezziana larvae,Unspecified schizophrenia,myiasis
obsolete nutritional cardiomyopathy,A myiasis that involves parasitic infestation of Cochliomyia hominivorax or Chrysomya bezziana larvae,Nutritional and metabolic cardiomyopathy NOS (disorder),myiasis
