Name,Definition,Synonym,Output
Meckel syndrome 1,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of MKS1 on chromosome 17q22.,MKS1,Meckel syndrome
Meckel syndrome 2,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of TMEM216 on chromosome 11q12.2.,MKS2,Meckel syndrome
Meckel syndrome 3,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of TMEM67 on chromosome 8q22.1.,MKS3,Meckel syndrome
Meckel syndrome 4,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of CEP290 on chromosome 12q21.32.,MKS4,Meckel syndrome
Meckel syndrome 5,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of RPGRIP1L on chromosome 16q12.2.,MKS5,Meckel syndrome
Meckel syndrome 6,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of CC2D2A on chromosome 4p15.32.,MKS6,Meckel syndrome
Meckel syndrome 7,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of NPHP3 on chromosome 3q22.1.,MKS7,Meckel syndrome
Meckel syndrome 8,A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of TCTN2 on chromosome 12q24.31.,MKS8,Meckel syndrome
Meckel syndrome 13,An autosomal recessive non-syndromic intellectual disability that has_material_basis_in homozygous mutation in the RUN and SH3 domain containing 2 gene (RUSC2) on chromosome 9p13.,Alwadei syndrome,Meckel syndrome
