Name,Definition,Synonym,Output
autosomal recessive Robinow syndrome,A Robinow syndrome characterized by autosomal recessive inheritance of severe skeletal dysplasia characterized by dysmorphic facial features,RRS,Robinow syndrome
autosomal dominant Robinow syndrome 2,A Robinow syndrome characterized by autosomal dominant inheritance of mesomelic limb shortening,DRS2,Robinow syndrome
autosomal dominant Robinow syndrome 1,A Robinow syndrome characterized by autosomal dominant inheritance of dysmorphic features resembling a fetal face,DRS1,Robinow syndrome
autosomal dominant Robinow syndrome 3,A Robinow syndrome characterized by autosomal dominant inheritance of mesomelia,DRS3,Robinow syndrome
