Name,Definition,Synonym,Output
distal hereditary motor neuronopathy type 5A,A distal hereditary motor neuronopathy type 5 that has_material_basis_in heterozygous mutation in GARS on 7p14.3 or BSCL2 on 11q12.3.,distal spinal muscular atrophy type VA,distal hereditary motor neuronopathy type 5
distal hereditary motor neuronopathy type 5B,A distal hereditary motor neuronopathy type 5 that has_material_basis_in heterozygous mutation in REEP1 on 2p11.2.,distal spinal muscular atrophy type VB,distal hereditary motor neuronopathy type 5
