Name,Definition,Synonym,Output
3-Methylcrotonyl-CoA carboxylase 1 deficiency,A 3-Methylcrotonyl-CoA carboxylase deficiency that has_material_basis_in  homozygous or compound heterozygous mutation in the gene encoding the alpha subunit of 3-methylcrotonyl-CoA carboxylase on chromosome 3q27.,multiple joint dislocations-short stature-craniofacial dysmorphism-congenital heart defects syndrome,3-Methylcrotonyl-CoA carboxylase deficiency
3-Methylcrotonyl-CoA carboxylase 2 deficiency,A 3-Methylcrotonyl-CoA carboxylase deficiency that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the beta subunit of 3-methylcrotonyl-CoA carboxylase on chromosome 5q13.,multiple joint dislocations-short stature-craniofacial dysmorphism-congenital heart defects syndrome,3-Methylcrotonyl-CoA carboxylase deficiency
