Name,Definition,Synonym,Output
polycystic kidney disease 1,A autosomal dominant polycystic kidney disease that has_material_basis_in autosomal dominant inheritance of mutation in the PKD1 gene on chromosome 16p13.3.,Polycystic Kidney Disease,autosomal dominant polycystic kidney disease
polycystic kidney disease 2,A autosomal dominant polycystic kidney disease that has_material_basis_in autosomal dominant inheritance of mutation in the PKD2 gene on chromosome 4q22.1.,Polycystic Kidney Disease,autosomal dominant polycystic kidney disease
polycystic kidney disease 3,A autosomal dominant polycystic kidney disease that has_material_basis_in autosomal dominant inheritance of mutation in the GANAB gene on chromosome 11q12.3.,Polycystic Kidney Disease,autosomal dominant polycystic kidney disease
