Name,Definition,Synonym,Output
Pthirus pubis infestation,A lice infestation that involves parasitic infestation by pubic lice Pthirus pubis,Phthirus/pediculus pubis - pubic lice - crabs,lice infestation
obsolete bovine trypanosomiasis,A trypanosomiasis that involves infection of cattle caused by Trypanosoma vivax,Phthirus/pediculus pubis - pubic lice - crabs,lice infestation
obsolete dourine,A trypanosomiasis that is a chronic,Infection by Trypanosoma equiperdum (disorder),lice infestation
Pediculus humanus capitis infestation,A lice infestation that involves colonization of the hair and skin by the parasitic insect Pediculus humanus capitis,Pediculus capitis infestation,lice infestation
Pediculus humanus corporis infestation,A lice infestation that is a cutaneous condition caused by parasitic infestation of body lice Pediculus humanus corporis,Pediculus humanus infestation,lice infestation
