Name,Definition,Synonym,Output
pancreatic invasive mucinous cystadenocarcinoma,A central nervous system adult germ cell tumor that develops from mismigrational pluripotent embryonic cells that remain in the brain after birth,pancreatic mucinous cystic neoplasm,pancreatic colloid cystadenocarcinoma
pancreatic non-invasive mucinous cystadenocarcinoma,A central nervous system adult germ cell tumor that develops from mismigrational pluripotent embryonic cells that remain in the brain after birth,pancreatic mucinous cystic neoplasm,pancreatic colloid cystadenocarcinoma
obsolete AIDS-related gastric Kaposi's sarcoma,An AIDS-related Kaposi's sarcoma and gastric Kaposi's sarcoma that is located_in the stomach.,AIDS-Related Kaposi's sarcoma of stomach,pancreatic colloid cystadenocarcinoma
