Name,Definition,Synonym,Output
autosomal dominant cutis laxa 1,An autosomal dominant cutis laxa that has_material_basis_in heterozygous mutations in the ELN gene on chromosome 7q11.,ADCL1,autosomal dominant cutis laxa
autosomal dominant cutis laxa 3,An autosomal dominant cutis laxa characterized by thin skin with visible veins and wrinkles,ADCL3,autosomal dominant cutis laxa
autosomal dominant cutis laxa 2,An autosomal dominant cutis laxa that has_material_basis_in heterozygous mutation in the FBLN5 gene on chromosome 14q32.,ADCL2,autosomal dominant cutis laxa
