Name,Definition,Synonym,Output
inverted transitional papilloma,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,transitional papilloma,transitional papilloma
obsolete inverted papilloma of paranasal sinus,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,Inverting papilloma of Accessory sinus,transitional papilloma
